,0
0,726590.0
1,674678.0
2,387662.0
3,167969.0
4,157819.0
5,138856.0
6,116002.0
7,103659.0
8,94427.0
9,45190.0
10,40874.0
11,39483.0
12,36631.0
13,30216.0
14,28517.0
15,25063.0
16,24803.0
17,22441.0
18,20506.0
19,17745.0
20,17304.0
21,15963.0
22,14811.0
23,14293.0
24,11398.0
25,10618.0
26,9228.0
27,8419.0
28,6681.0
29,6644.0
30,6512.0
31,6454.0
32,5376.0
33,4098.0
34,3948.0
35,3814.0
36,3045.0
37,2501.0
38,2449.0
39,2274.0
40,2040.0
41,1846.0
42,1734.0
43,1696.0
44,1637.0
45,1598.0
46,1344.0
47,1300.0
48,1246.0
49,1227.0
50,1178.0
51,1146.0
52,1109.0
53,1101.0
54,1045.0
55,1005.0
56,982.0
57,891.0
58,873.0
59,829.0
60,818.0
61,817.0
62,791.0
63,781.0
64,750.0
65,552.0
66,516.0
67,422.0
68,331.0
69,255.0
70,217.0
71,123.0
72,116.0
73,114.0
74,71.0
75,60.0
76,59.0
77,57.0
78,56.0
79,49.0
80,48.0
81,48.0
82,43.0
83,43.0
84,36.0
85,36.0
86,35.0
87,35.0
88,34.0
89,34.0
90,33.0
91,32.0
92,31.0
93,31.0
94,30.0
95,29.0
