,0
0,473642.0
1,385157.0
2,300488.0
3,284826.0
4,165514.0
5,125605.0
6,109266.0
7,93009.0
8,39279.0
9,38387.0
10,21760.0
11,17731.0
12,17547.0
13,14356.0
14,14307.0
15,13458.0
16,12561.0
17,11797.0
18,10761.0
19,10610.0
20,7864.0
21,7610.0
22,6955.0
23,6212.0
24,5793.0
25,5611.0
26,5302.0
27,4888.0
28,4047.0
29,3960.0
30,3808.0
31,3626.0
32,3242.0
33,3225.0
34,2939.0
35,2831.0
36,2653.0
37,2551.0
38,2489.0
39,2309.0
40,2122.0
41,1995.0
42,1961.0
43,1908.0
44,1869.0
45,1782.0
46,1621.0
47,1292.0
48,1247.0
49,1081.0
50,1031.0
51,1022.0
52,1004.0
53,912.0
54,856.0
55,814.0
56,796.0
57,787.0
58,682.0
59,454.0
60,435.0
61,271.0
62,234.0
63,171.0
64,155.0
65,129.0
66,106.0
67,103.0
68,84.0
69,81.0
70,72.0
71,72.0
72,63.0
73,62.0
74,59.0
75,59.0
76,55.0
77,46.0
78,45.0
79,44.0
80,38.0
81,36.0
82,36.0
83,35.0
84,35.0
85,34.0
86,34.0
87,34.0
88,34.0
89,32.0
90,31.0
91,30.0
92,30.0
93,29.0
94,24.0
95,19.0
