,0
0,2145836.0
1,1681120.0
2,548728.0
3,529657.0
4,361471.0
5,351313.0
6,217044.0
7,187568.0
8,187357.0
9,142368.0
10,132249.0
11,110858.0
12,89283.0
13,79569.0
14,72564.0
15,63267.0
16,62989.0
17,58132.0
18,42158.0
19,37587.0
20,34047.0
21,28167.0
22,23887.0
23,21379.0
24,20563.0
25,17372.0
26,17100.0
27,14626.0
28,14379.0
29,10983.0
30,9111.0
31,8932.0
32,8700.0
33,6759.0
34,6555.0
35,6253.0
36,5891.0
37,5669.0
38,4760.0
39,4685.0
40,3704.0
41,3446.0
42,2905.0
43,2748.0
44,2715.0
45,2602.0
46,2452.0
47,1928.0
48,1719.0
49,1588.0
50,1506.0
51,1505.0
52,1405.0
53,1392.0
54,1297.0
55,1006.0
56,904.0
57,821.0
58,820.0
59,793.0
60,762.0
61,634.0
62,488.0
63,396.0
64,382.0
65,360.0
66,356.0
67,339.0
68,284.0
69,149.0
70,102.0
71,86.0
72,69.0
73,61.0
74,53.0
75,49.0
76,47.0
77,46.0
78,43.0
79,36.0
80,34.0
81,34.0
82,34.0
83,34.0
84,34.0
85,33.0
86,33.0
87,32.0
88,32.0
89,32.0
90,32.0
91,31.0
92,31.0
93,31.0
94,31.0
95,31.0
