,0
0,1525.0
1,8842.0
2,2491.0
3,5155.0
4,4371.0
5,10437.0
6,1374.0
7,1860.0
8,6466.0
9,11416.0
10,1676.0
11,6779.0
12,11189.0
13,5139.0
14,5684.0
15,1968.0
16,17253.0
17,4448.0
18,5316.0
19,3704.0
20,3858.0
21,3031.0
22,9257.0
23,3104.0
24,6989.0
25,1338.0
26,2540.0
27,8328.0
28,5373.0
29,697.0
30,23291.0
31,1854.0
32,2097.0
33,3814.0
34,2722.0
35,3025.0
36,7769.0
37,5934.0
38,9659.0
39,6101.0
40,2618.0
41,10687.0
42,2226.0
43,7410.0
44,4721.0
45,2148.0
46,4012.0
47,8226.0
48,2905.0
49,3748.0
50,5045.0
51,2857.0
52,1745.0
53,2538.0
54,11846.0
55,17942.0
56,2519.0
57,2747.0
58,6886.0
59,1522.0
60,4076.0
61,6048.0
62,16761.0
63,8509.0
64,1063.0
65,10135.0
66,3796.0
67,14132.0
68,3261.0
69,10260.0
70,1123.0
71,3084.0
72,2101.0
73,2765.0
74,3971.0
75,1407.0
76,12461.0
77,3367.0
78,5656.0
79,4565.0
80,8447.0
81,5833.0
82,3229.0
83,1581.0
84,3249.0
85,2912.0
86,1869.0
87,9371.0
88,5297.0
89,7577.0
90,11661.0
91,3786.0
92,4331.0
93,2955.0
94,3194.0
95,2452.0
96,4227.0
97,7265.0
