,0,1,2,3
0,0.11629831,-0.13840955,-0.08326922,0.05610703
1,-0.020717666,0.22741593,0.21776904,-0.035452962
2,-0.036368746,0.2690127,0.22224352,-0.25297365
3,0.04799525,-0.16855201,-0.12079909,0.102577105
4,0.062282167,0.094961524,-0.28740036,-0.05971727
5,0.2564385,-0.04894443,0.0034477294,0.057807475
6,-0.10210393,-0.15413435,0.20783402,0.0060146246
7,-0.017252518,0.03934965,0.13528468,0.09253704
8,0.27982038,-0.13871095,0.08157932,0.0056264596
9,0.0016156037,-0.2973528,-0.028408522,0.045622423
10,-0.0799769,-0.31791812,0.12757815,0.040047567
11,0.35242373,-0.037893955,0.073901445,0.12659387
12,-0.28111532,-0.10828249,-0.016538024,-0.14052083
13,-0.07269546,-0.18667136,0.01834324,0.018359765
14,0.1800014,-0.18978167,-0.10603457,0.09728856
15,0.30878514,0.15372881,-0.22136448,0.13747875
16,0.16558225,0.1426503,-0.011854117,-0.39316624
17,-0.10650936,0.16438502,-0.21275178,-0.12948461
18,-0.049980987,0.020225272,-0.07067328,0.019464258
19,0.017448217,0.15398914,0.045404386,-0.01607941
20,-0.10317529,0.24708962,0.07269966,-0.019709842
21,-0.29068002,-0.17667489,-0.15587355,-0.2111311
22,0.0023758854,-0.03641697,0.04421036,0.13960077
23,0.21699905,-0.13958621,-0.21132283,-0.24135661
24,-0.006614321,0.070988104,0.05756664,0.12044979
25,-0.159156,-0.24328957,-0.12980343,0.12157644
26,0.15204668,0.15575904,-0.16996369,-0.22441705
27,0.15558988,-0.29966903,0.32582802,0.03234403
28,-0.06282544,-0.07420151,-0.062815815,-0.20499934
29,0.02687835,-0.25193447,-0.030022504,0.02893325
30,0.08707779,-0.08796369,-0.045935743,-0.27496797
31,-0.08673621,-0.08520553,-0.0800133,0.22595523
32,0.3791443,0.20053864,0.120749824,0.019735077
33,-0.094407186,-0.14671613,-0.021253454,0.007350355
34,-0.3222332,-0.34540966,-0.25068992,0.121027075
35,-0.16647118,0.1529719,-0.2845436,-0.05101384
36,-0.07737442,-0.17534952,0.20809816,-0.2985004
37,-0.029139047,-0.40610272,0.0035705382,0.05550942
38,-0.1672915,-0.17171538,-0.15631056,-0.16021718
39,0.32787764,0.15676056,-0.09744452,0.13253708
40,-0.2570906,-0.124693595,0.24789616,0.0249516
41,0.022950144,-0.23462029,-0.046648975,0.027554091
42,0.2229609,-0.2535436,-0.1498574,0.14183916
43,-0.16519068,0.22730744,-0.25143543,-0.2549486
44,0.0751318,-0.13807708,-0.084131,0.058681104
45,0.50274074,-0.023248568,0.13483974,-0.20838504
46,0.032969292,-0.049691737,0.058909692,-0.002676621
47,-0.06844193,0.04812345,-0.20755166,-0.10864036
48,0.14936592,0.004269199,0.015897708,0.16863479
49,0.22303933,0.17194033,-0.15075196,-0.15236562
50,-0.10681751,0.0008367041,-0.11501197,0.07038997
51,-0.0047170776,-0.11080486,0.063036315,0.0039034458
52,0.13462332,0.1924515,0.15530463,0.10041074
53,0.23005211,0.3266617,-0.02204656,-0.0067132656
54,-0.03921172,-0.17978558,-0.090550624,0.06640286
55,0.27724442,-0.19817337,-0.12150182,0.09411737
56,-0.14675434,0.02003464,0.2927374,-0.19632268
57,-0.03736365,-0.25226533,-0.10065764,-0.0764903
58,-0.15006083,-0.13790907,0.08221981,0.0065041827
59,0.19708404,-0.19757293,-0.09549773,0.090471625
60,-0.008363605,0.13311338,0.026435524,-0.16147439
61,-0.028208215,-0.027735857,-0.36309785,0.14683513
62,-0.1811445,0.018512398,-0.17697057,-0.17432883
63,0.07396683,0.06446296,-0.04495287,-0.22543478
