,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.18356608,0.44495893,-0.35012704,0.35223335,-0.18338165,0.14727347,0.36960182,-0.17758039,0.26940924,0.33013937,0.06700763,-0.21415101,0.19352259,0.32184607,0.18873556,-0.08683994,0.5209931,-0.15613285,0.8549387,0.5039845,0.71881825,0.18792732,-0.10811613,0.16814329,-0.034040537,0.2123313,0.0057704747,-0.22769628,0.06453152,0.37416297,0.6973584,-0.07193585,-0.18259576,0.047656566,-0.07330729,0.08526869,0.09466336,0.24571478,0.18666176,-0.069984816,-0.23546523,0.46501425,0.19085251,-0.04422134,0.14730614,0.34808567,0.8050889,0.18783294,-0.26674256,0.08559017,0.34123275,0.69196796,-0.31715342,0.35009122,0.40296006,0.3997852,0.6723984,-0.097258374,0.23110294,0.2629046,-0.09747825,-0.05247794,0.118144855,-0.13250217
1,-0.10196519,-0.31529152,0.057597533,-0.12999563,0.1176573,0.066497706,-0.054376524,-0.045819897,-0.05135041,-0.070779435,-0.13363947,-0.079112254,0.1311379,-0.06626478,0.108858086,0.17132789,0.001617685,-0.1273005,-0.39329445,-0.17280258,-0.14316331,-0.21323767,0.10550945,-0.080360875,-0.103645146,-0.091221765,-0.13911834,0.2592951,0.14441128,-0.24656415,0.2139678,0.21825467,-0.17564781,0.10972306,0.087280385,-0.05777977,-0.1274499,-0.10541101,-0.07802957,-0.13381283,0.17891783,-0.12281108,-0.024670083,0.1260695,-0.08407743,0.19828673,0.24496657,0.2108257,-0.17910987,0.1576819,0.058192737,0.3263148,0.06170815,-0.18127759,0.07008031,0.03820886,0.19781907,-0.09552787,-0.05276295,-0.06663394,0.0062453,0.006100876,0.042436764,-0.11159213
2,0.27765042,0.6669923,-0.16763024,0.24711448,0.10807732,0.17614552,0.390637,-0.09326831,-0.014099962,0.23540008,0.09896616,-0.17651363,-0.027343914,0.31386876,0.22339644,-0.017565414,0.8379652,-0.20197734,0.62247616,0.56022173,0.78328884,-0.12276416,-0.026065366,0.047766164,-0.12284228,0.32900605,-0.08591357,-0.1064034,0.10196145,0.6131733,0.7825271,-0.2134268,-0.0160695,0.021584319,0.14294894,0.07587645,0.26974577,0.5526419,-0.042384088,-0.0120252045,-0.05710617,0.122431554,0.17428803,-0.11218064,0.030622378,0.24948448,0.7012859,0.08744596,-0.13222986,0.12291594,0.24286532,0.74212825,-0.119683765,0.64312804,0.15708688,0.12740457,0.7156905,-0.07528795,0.3292132,0.3188471,0.1727496,-0.03562324,-0.15233432,0.19360344
3,-0.05617167,0.11212291,-0.12896541,-0.20958526,0.09859036,-0.123578705,-0.047287665,-0.054437246,-0.053455047,-0.2325326,-0.118349,0.09938658,-0.10843443,0.046901394,-0.036639042,-0.08226369,0.21205713,0.025223047,-0.025345476,-0.056684874,-0.24983497,-0.14533064,0.05279219,0.06253688,0.0027062607,0.025731394,0.0774688,-0.08666313,-0.039185375,0.18803072,-0.13220902,0.021804005,-0.2039839,0.09692798,-0.00801668,-0.061844647,0.054287724,0.13354258,0.009464368,0.09323737,-0.20091936,0.014334903,0.021331787,0.029501215,-0.03369192,0.13209225,-0.07912595,-0.19742113,0.0878248,0.15717034,-0.20147833,0.04199531,-0.023672868,-0.14417645,0.17377716,0.024256894,-0.13927637,0.012572944,0.14359999,-0.014284847,0.0025658906,-0.12813792,0.08410533,-0.07350594
4,0.30505928,0.39489958,-0.46638966,0.29167292,-0.051778965,0.3011008,0.43590412,-0.3946881,-0.012919429,0.7130759,0.26198953,-0.36480907,-0.21227118,0.38028708,0.17620957,-0.1833128,0.7834369,-0.10313292,1.0561599,0.66773593,1.0743108,-0.021403149,-0.22508448,-0.053972945,-0.2049715,0.30988538,0.1912881,-0.48085156,-0.077374324,0.44770685,0.86492586,-0.22076356,-0.3117473,0.24736321,0.034114543,0.08214215,0.042769358,0.373982,0.14227565,-0.33034354,-0.07171162,0.34773684,0.6547856,0.14687066,0.22324619,0.32856694,0.6004858,0.03445597,-0.30215216,0.13978164,-0.041383088,0.96158063,-0.16898957,0.81130177,0.4134355,0.24663228,0.6267695,0.14296599,0.47290963,0.531303,-0.057268202,-0.22593148,0.009946391,-0.1882054
5,-0.2683041,-0.18785457,-0.19981539,-0.17710647,-0.04289978,-0.19525312,0.4066473,0.3228775,-0.027138326,-0.05490134,0.19623667,0.37162155,-0.15536109,0.09272887,-0.29947072,-0.15324582,-0.12632085,-0.07448706,-0.4764964,-0.4986305,-0.7913943,0.20784797,0.27819377,-0.027354062,0.34100118,0.044568595,-0.20044538,0.44445923,-0.18237275,-0.13985176,-0.038346026,0.17018096,0.13161337,-0.31977656,-0.04569487,0.15064438,0.14922093,-0.1984308,-0.1636566,0.11078487,0.2205304,-0.1533502,-0.20489143,-0.015342265,-0.1369923,0.21189,-0.0048617297,0.20680524,-0.013904745,0.049835846,-0.03642658,0.03324175,0.3353885,-0.7722576,-0.26597735,0.028322164,0.19410078,-0.035259873,0.07483131,-0.22885077,0.05614899,0.24654427,-0.13891579,0.11296873
6,0.11765,0.06014076,-0.12701035,0.040068597,-0.20327647,-0.18302734,-0.15824074,0.15537675,-0.09421586,-0.022492869,0.07475795,0.0822603,0.037920788,-0.2567008,0.1454094,0.21616895,0.11565937,0.07754804,-0.03925792,0.034818087,-0.23652579,-0.07539344,-0.14060773,0.16422726,0.027572496,0.08328283,0.07368307,0.16846228,0.13958977,0.044557396,-0.07957251,0.046304498,-0.059575308,-0.28285125,0.029352324,-0.11373896,-0.122684605,-0.081608556,0.16201611,-0.1175186,-0.077675916,0.12972224,-0.29433087,0.123798445,0.11952407,-0.06268242,-0.08686853,0.18209164,-0.02989975,-0.063223064,-0.26778474,-0.101835474,-0.095509745,-0.15633608,-0.24946348,-0.1033601,0.15246943,0.18549941,0.027162565,-0.2726537,-0.0002361536,-0.1575615,0.20594592,-0.16559169
7,-0.2920206,-0.4552256,0.12956084,-0.057463292,-0.19200449,-0.018070387,0.23502657,0.4212835,-0.07975445,-0.15285191,0.042163376,0.37919134,0.023861438,-0.016018413,0.1569453,0.22826259,-0.106098846,0.2123944,-0.45607278,-0.69655883,-0.7866627,-0.18878344,0.15745941,-0.025420234,0.30893323,-0.21047033,0.113230124,0.7462841,-0.011936873,-0.33794677,0.068668745,-0.07300244,-0.14202702,-0.13206545,0.0045600682,-0.15818557,0.34749627,-0.10035419,0.21493645,0.3219334,0.55740976,-0.11232834,-0.25896442,0.026089191,-0.08671273,0.24082954,-0.079033226,0.026773766,0.10171384,-0.06244129,-0.11532835,0.19500564,0.25387296,-0.6395001,-0.189903,-0.18389028,0.49514505,-0.1893199,-0.13119283,-0.20230879,0.026357576,0.12667559,-0.15827666,0.17513384
8,0.21799476,0.2141618,-0.38055974,0.20968446,0.050462186,0.37580094,0.2343081,-0.51810014,0.050466273,0.36808908,0.22789145,-0.103068575,-0.0634646,0.35450494,0.3065059,-0.27160856,0.75008863,-0.18050641,0.99983203,0.2901951,0.6614767,-0.15010174,-0.31952962,0.014351919,-0.30517083,0.2889612,-0.20705643,-0.122887686,-0.10955183,0.58279896,0.8158047,-0.17613797,-0.18550332,0.29811847,-0.17205283,-0.25426748,0.15346391,0.53485125,-0.12876105,-0.22942993,0.03283334,0.12340043,0.2870739,0.09935014,0.07308241,0.12085396,0.88187885,0.11120902,0.003920021,0.09846236,0.2833902,0.9678937,-0.05056468,0.35703415,0.48010534,0.11334704,0.80701685,-0.10653126,0.44982168,0.2764096,-0.07067393,-0.22858249,-0.216088,-0.17659512
9,0.30744097,0.53589946,-0.46393394,0.3944549,0.13564315,-0.03943769,0.49000755,-0.40622395,-0.04388744,0.44419798,0.22354467,-0.22200175,0.2041844,0.24074456,0.23370099,-0.07899426,0.60217696,-0.052478,0.7304114,0.47914684,0.7874024,0.18320875,-0.27655128,0.17339109,-0.40239015,0.3633041,0.19729279,-0.38029075,-0.13074175,0.3793002,0.9347942,-0.28851122,0.08439975,0.3442446,0.10762797,-0.08386882,0.12751137,0.21383135,0.19128968,-0.36152256,-0.39236608,0.43743452,0.4640647,-0.16388454,0.38568518,0.30010003,0.8347908,0.06725611,-0.21104091,-0.012633368,-0.018815596,0.74654603,-0.14207882,1.0560352,0.2242766,0.45378962,0.74857324,0.07240076,0.4291068,0.3767075,-0.12944132,-0.2840577,0.07931723,0.17810325
