,0
0,882443.0
1,225911.0
2,191805.0
3,164717.0
4,162708.0
5,141790.0
6,128924.0
7,120456.0
8,111452.0
9,90762.0
10,90162.0
11,89554.0
12,83359.0
13,81082.0
14,79679.0
15,77337.0
16,76996.0
17,70557.0
18,50172.0
19,46268.0
20,45793.0
21,25247.0
22,24862.0
23,23437.0
24,23019.0
25,20399.0
26,17676.0
27,12492.0
28,9931.0
29,9453.0
30,9195.0
31,7161.0
32,5880.0
33,5571.0
34,5532.0
35,5205.0
36,4737.0
37,4547.0
38,4314.0
39,4238.0
40,3870.0
41,3568.0
42,3431.0
43,3294.0
44,3082.0
45,3017.0
46,2814.0
47,2214.0
48,2148.0
49,2039.0
50,2033.0
51,1890.0
52,1865.0
53,1762.0
54,1641.0
55,1500.0
56,1340.0
57,1328.0
58,1243.0
59,1235.0
60,1007.0
61,753.0
62,721.0
63,654.0
64,629.0
65,563.0
66,537.0
67,510.0
68,481.0
69,446.0
70,441.0
71,381.0
72,350.0
73,340.0
74,229.0
75,229.0
76,221.0
77,203.0
78,166.0
79,160.0
80,156.0
81,139.0
82,130.0
83,104.0
84,57.0
85,46.0
86,45.0
87,42.0
88,41.0
89,35.0
90,35.0
91,34.0
92,33.0
93,33.0
94,30.0
95,25.0
