,0
0,2229.0
1,1206.6666259765625
2,582.0
3,567.6666870117188
4,494.6666564941406
5,430.0
6,347.3333435058594
7,187.3333282470703
8,171.6666717529297
9,138.3333282470703
10,124.0
11,57.0
12,55.66666793823242
13,49.0
14,45.66666793823242
15,40.66666793823242
16,34.33333206176758
17,34.0
18,33.66666793823242
19,32.0
20,25.66666603088379
21,24.33333396911621
22,22.66666603088379
23,22.0
24,22.0
25,20.66666603088379
26,20.66666603088379
27,20.0
28,18.0
29,18.0
30,17.0
31,16.66666603088379
32,16.0
33,15.666666984558105
34,14.666666984558105
35,14.666666984558105
36,14.333333015441895
37,14.333333015441895
38,13.666666984558105
39,13.666666984558105
40,13.0
41,13.0
42,13.0
43,12.666666984558105
44,12.333333015441895
45,12.0
46,12.0
47,11.666666984558105
48,11.666666984558105
49,11.666666984558105
50,11.666666984558105
51,11.666666984558105
52,11.666666984558105
53,11.666666984558105
54,11.666666984558105
55,11.333333015441895
56,11.333333015441895
57,11.333333015441895
58,11.333333015441895
59,11.333333015441895
60,11.333333015441895
61,11.0
62,11.0
63,11.0
64,11.0
65,11.0
66,11.0
67,11.0
68,11.0
69,11.0
70,10.666666984558105
71,10.666666984558105
72,10.666666984558105
73,10.333333015441895
74,10.0
75,10.0
76,10.0
77,9.666666984558105
78,9.666666984558105
79,9.666666984558105
80,9.666666984558105
81,9.666666984558105
82,9.333333015441895
83,9.333333015441895
84,9.333333015441895
85,9.333333015441895
86,9.333333015441895
87,9.0
88,9.0
89,9.0
90,8.666666984558105
91,8.666666984558105
92,8.333333015441895
93,7.666666507720947
94,7.333333492279053
95,6.666666507720947
96,6.333333492279053
97,6.0
