,0
0,787623.6875
1,200923.671875
2,198759.671875
3,120633.6640625
4,90840.3359375
5,26576.666015625
6,15258.6669921875
7,11105.3330078125
8,6549.66650390625
9,5741.33349609375
10,5042.33349609375
11,4418.66650390625
12,4118.66650390625
13,3468.333251953125
14,3312.0
15,2513.666748046875
16,2316.0
17,2307.0
18,1855.0
19,1657.0
20,1647.6666259765625
21,1612.0
22,1583.0
23,1531.0
24,1395.6666259765625
25,1379.6666259765625
26,1226.6666259765625
27,1208.3333740234375
28,1192.3333740234375
29,1184.0
30,1144.3333740234375
31,1095.6666259765625
32,900.6666870117188
33,896.3333129882812
34,834.0
35,766.0
36,748.6666870117188
37,671.6666870117188
38,628.0
39,599.6666870117188
40,551.3333129882812
41,547.3333129882812
42,546.6666870117188
43,545.3333129882812
44,364.0
45,333.6666564941406
46,329.3333435058594
47,319.0
48,124.33333587646484
49,52.66666793823242
50,42.0
51,41.0
52,40.33333206176758
53,38.66666793823242
54,34.33333206176758
55,33.0
56,31.66666603088379
57,29.66666603088379
58,28.33333396911621
59,23.66666603088379
60,23.33333396911621
61,20.66666603088379
62,17.0
63,16.0
64,16.0
65,15.0
66,14.666666984558105
67,14.333333015441895
68,11.333333015441895
69,11.0
70,10.666666984558105
71,10.333333015441895
72,10.333333015441895
73,10.0
74,10.0
75,9.666666984558105
76,9.666666984558105
77,9.0
78,9.0
79,9.0
80,8.666666984558105
81,8.333333015441895
82,8.333333015441895
83,8.0
84,7.666666507720947
85,7.666666507720947
86,7.666666507720947
87,7.666666507720947
88,7.333333492279053
89,7.333333492279053
90,7.0
91,6.333333492279053
92,6.333333492279053
93,6.333333492279053
94,6.333333492279053
95,6.333333492279053
