,0
0,11219.6669921875
1,4331.66650390625
2,2647.0
3,1976.0
4,1769.6666259765625
5,1533.3333740234375
6,1468.0
7,1097.0
8,1048.6666259765625
9,750.3333129882812
10,693.3333129882812
11,460.3333435058594
12,442.0
13,204.0
14,198.6666717529297
15,180.6666717529297
16,172.0
17,165.0
18,162.0
19,137.0
20,133.0
21,84.66666412353516
22,81.0
23,51.33333206176758
24,47.66666793823242
25,44.66666793823242
26,34.33333206176758
27,30.33333396911621
28,27.0
29,27.0
30,26.0
31,25.0
32,24.66666603088379
33,23.66666603088379
34,22.66666603088379
35,21.0
36,20.66666603088379
37,20.33333396911621
38,18.0
39,16.33333396911621
40,16.33333396911621
41,16.0
42,16.0
43,15.333333015441895
44,14.666666984558105
45,14.333333015441895
46,13.333333015441895
47,13.0
48,13.0
49,13.0
50,13.0
51,12.666666984558105
52,12.666666984558105
53,12.666666984558105
54,12.0
55,11.666666984558105
56,11.666666984558105
57,11.666666984558105
58,11.333333015441895
59,11.333333015441895
60,11.0
61,11.0
62,10.666666984558105
63,10.666666984558105
64,10.666666984558105
65,10.666666984558105
66,10.333333015441895
67,10.333333015441895
68,10.333333015441895
69,10.0
70,10.0
71,10.0
72,9.666666984558105
73,9.333333015441895
74,9.333333015441895
75,9.333333015441895
76,9.0
77,9.0
78,9.0
79,8.666666984558105
80,8.666666984558105
81,8.666666984558105
82,8.666666984558105
83,8.666666984558105
84,8.666666984558105
85,8.666666984558105
86,8.333333015441895
87,8.333333015441895
88,8.0
89,8.0
90,8.0
91,7.666666507720947
92,7.333333492279053
93,7.333333492279053
94,7.333333492279053
95,6.666666507720947
96,6.333333492279053
97,5.0
