,0
0,4631.0
1,3964.333251953125
2,3312.0
3,1637.6666259765625
4,1058.0
5,761.6666870117188
6,345.6666564941406
7,315.3333435058594
8,303.0
9,151.6666717529297
10,146.6666717529297
11,123.33333587646484
12,108.33333587646484
13,102.66666412353516
14,87.0
15,54.0
16,47.0
17,36.66666793823242
18,35.66666793823242
19,34.0
20,33.66666793823242
21,32.66666793823242
22,29.66666603088379
23,29.0
24,28.66666603088379
25,26.66666603088379
26,25.0
27,25.0
28,24.66666603088379
29,24.0
30,22.66666603088379
31,20.66666603088379
32,17.33333396911621
33,16.33333396911621
34,16.33333396911621
35,15.666666984558105
36,15.0
37,15.0
38,14.666666984558105
39,14.0
40,14.0
41,14.0
42,12.666666984558105
43,12.666666984558105
44,12.333333015441895
45,12.333333015441895
46,12.333333015441895
47,12.0
48,12.0
49,12.0
50,12.0
51,12.0
52,11.666666984558105
53,11.666666984558105
54,11.666666984558105
55,11.666666984558105
56,11.666666984558105
57,11.333333015441895
58,11.333333015441895
59,11.333333015441895
60,11.0
61,11.0
62,11.0
63,10.666666984558105
64,10.333333015441895
65,10.333333015441895
66,10.333333015441895
67,10.0
68,10.0
69,10.0
70,10.0
71,10.0
72,10.0
73,9.333333015441895
74,9.333333015441895
75,9.333333015441895
76,9.333333015441895
77,9.0
78,9.0
79,9.0
80,9.0
81,8.666666984558105
82,8.666666984558105
83,8.333333015441895
84,8.333333015441895
85,8.333333015441895
86,8.333333015441895
87,8.0
88,7.666666507720947
89,7.666666507720947
90,7.333333492279053
91,7.333333492279053
92,7.333333492279053
93,7.0
94,6.666666507720947
95,6.666666507720947
96,6.333333492279053
97,6.333333492279053
