,0
0,162991.328125
1,135315.328125
2,61170.0
3,57659.33203125
4,14916.0
5,13730.0
6,10134.6669921875
7,6791.33349609375
8,4333.0
9,3520.333251953125
10,3402.666748046875
11,3323.333251953125
12,3323.333251953125
13,3222.0
14,3158.333251953125
15,3001.0
16,2757.666748046875
17,2591.333251953125
18,2424.0
19,2334.333251953125
20,2257.333251953125
21,1961.6666259765625
22,1822.3333740234375
23,1767.0
24,1748.6666259765625
25,1685.6666259765625
26,1685.6666259765625
27,1497.3333740234375
28,1474.0
29,1438.0
30,1312.0
31,1296.6666259765625
32,1246.0
33,1146.0
34,1085.0
35,997.3333129882812
36,986.0
37,950.6666870117188
38,934.6666870117188
39,866.0
40,813.3333129882812
41,795.3333129882812
42,736.6666870117188
43,331.3333435058594
44,272.0
45,104.66666412353516
46,82.33333587646484
47,65.66666412353516
48,57.0
49,54.66666793823242
50,48.33333206176758
51,41.0
52,35.66666793823242
53,35.33333206176758
54,34.0
55,33.66666793823242
56,33.0
57,32.66666793823242
58,32.66666793823242
59,32.33333206176758
60,32.0
61,32.0
62,31.66666603088379
63,31.66666603088379
64,30.33333396911621
65,29.0
66,27.0
67,23.66666603088379
68,22.33333396911621
69,21.66666603088379
70,20.33333396911621
71,20.0
72,18.66666603088379
73,15.333333015441895
74,14.0
75,13.333333015441895
76,13.0
77,12.333333015441895
78,11.333333015441895
79,11.0
80,10.666666984558105
81,10.333333015441895
82,10.0
83,10.0
84,10.0
85,10.0
86,9.333333015441895
87,9.0
88,8.666666984558105
89,8.333333015441895
90,8.333333015441895
91,7.333333492279053
92,7.333333492279053
93,7.333333492279053
94,7.0
95,6.666666507720947
96,6.0
97,5.333333492279053
