,0
0,11401.6669921875
1,3129.0
2,1837.3333740234375
3,1567.3333740234375
4,1557.3333740234375
5,1465.0
6,677.0
7,549.6666870117188
8,536.3333129882812
9,530.0
10,432.6666564941406
11,344.3333435058594
12,241.3333282470703
13,226.3333282470703
14,174.6666717529297
15,144.3333282470703
16,129.3333282470703
17,127.0
18,100.66666412353516
19,84.66666412353516
20,55.33333206176758
21,48.66666793823242
22,44.0
23,42.66666793823242
24,38.33333206176758
25,36.66666793823242
26,31.66666603088379
27,31.33333396911621
28,27.33333396911621
29,26.66666603088379
30,24.66666603088379
31,23.66666603088379
32,23.0
33,18.33333396911621
34,17.0
35,16.66666603088379
36,16.33333396911621
37,15.333333015441895
38,15.0
39,15.0
40,14.333333015441895
41,14.0
42,14.0
43,13.666666984558105
44,13.0
45,13.0
46,12.666666984558105
47,12.333333015441895
48,12.333333015441895
49,12.333333015441895
50,12.333333015441895
51,12.0
52,12.0
53,11.666666984558105
54,11.666666984558105
55,11.666666984558105
56,11.333333015441895
57,11.0
58,11.0
59,11.0
60,11.0
61,11.0
62,11.0
63,11.0
64,11.0
65,10.666666984558105
66,10.666666984558105
67,10.666666984558105
68,10.666666984558105
69,10.333333015441895
70,10.333333015441895
71,10.333333015441895
72,10.333333015441895
73,10.333333015441895
74,10.0
75,10.0
76,10.0
77,10.0
78,10.0
79,9.666666984558105
80,9.666666984558105
81,9.333333015441895
82,9.333333015441895
83,9.0
84,9.0
85,9.0
86,9.0
87,9.0
88,8.666666984558105
89,8.666666984558105
90,8.666666984558105
91,8.333333015441895
92,8.0
93,7.666666507720947
94,7.666666507720947
95,6.666666507720947
96,6.666666507720947
97,6.0
