,0
0,73725.6640625
1,33780.66796875
2,12722.6669921875
3,10084.6669921875
4,8984.0
5,3907.666748046875
6,2452.0
7,2076.666748046875
8,1757.3333740234375
9,1392.0
10,1071.0
11,816.3333129882812
12,787.0
13,641.3333129882812
14,641.0
15,635.0
16,403.0
17,295.6666564941406
18,273.3333435058594
19,188.3333282470703
20,181.6666717529297
21,171.6666717529297
22,138.0
23,106.33333587646484
24,88.33333587646484
25,81.0
26,80.0
27,71.66666412353516
28,63.33333206176758
29,48.0
30,46.66666793823242
31,36.66666793823242
32,36.0
33,35.33333206176758
34,34.66666793823242
35,34.66666793823242
36,34.66666793823242
37,33.33333206176758
38,32.66666793823242
39,32.66666793823242
40,30.33333396911621
41,27.66666603088379
42,26.66666603088379
43,23.66666603088379
44,22.33333396911621
45,20.66666603088379
46,20.33333396911621
47,19.0
48,18.66666603088379
49,18.33333396911621
50,18.0
51,17.66666603088379
52,14.666666984558105
53,14.0
54,13.666666984558105
55,12.666666984558105
56,12.333333015441895
57,12.0
58,12.0
59,11.666666984558105
60,11.666666984558105
61,11.333333015441895
62,11.333333015441895
63,11.333333015441895
64,11.333333015441895
65,11.0
66,11.0
67,11.0
68,10.666666984558105
69,10.666666984558105
70,10.333333015441895
71,10.333333015441895
72,10.0
73,10.0
74,10.0
75,9.333333015441895
76,9.333333015441895
77,9.333333015441895
78,9.333333015441895
79,9.0
80,9.0
81,9.0
82,8.666666984558105
83,8.666666984558105
84,8.666666984558105
85,8.333333015441895
86,8.333333015441895
87,8.0
88,7.666666507720947
89,7.666666507720947
90,7.666666507720947
91,7.333333492279053
92,7.333333492279053
93,6.666666507720947
94,6.333333492279053
95,6.333333492279053
