0,3652
1,5024
2,1513
28,2361
29,5046
3,7528
56,1088
14,18681
42,9478
30,7044
57,3557
15,2381
43,1189
4,10237
16,2914
70,3630
58,3234
5,2665
17,3999
0,2822
1,2782
16,2943
48,4452
17,13191
18,945
19,3310
49,6651
32,18382
50,3012
80,3409
33,1765
2,25677
51,1940
81,1900
34,1558
3,3175
20,9528
82,6315
35,5925
52,7141
64,18637
53,815
4,5830
36,1277
54,1811
37,2095
55,4605
83,11064
21,13630
5,12268
65,13672
22,3412
84,4368
38,12226
56,11285
6,6992
66,6033
39,4722
7,2628
23,8474
85,7465
40,2866
57,5832
8,1913
67,8295
58,3803
24,5641
41,4754
59,1327
86,7157
42,3123
25,5068
68,4888
87,4802
9,11083
69,2053
10,1911
26,4757
43,5775
44,4380
27,4868
60,14176
11,7152
88,10837
61,2596
28,3607
62,1935
29,1650
45,6870
63,839
30,2875
89,4950
90,2412
31,3175
12,11534
46,6097
91,2697
92,4595
13,8636
47,8060
14,1850
15,779
70,34828
93,7996
71,1851
72,317
94,1940
73,1192
74,6794
75,2544
95,12362
76,16207
77,3872
78,4113
79,6467
16,3358
17,2549
18,604
19,32
32,3883
20,8530
21,2195
48,9600
49,1147
33,15119
22,5590
80,2777
23,746
81,1847
50,5427
64,10574
34,4674
35,1057
24,5415
51,4441
36,2217
65,5209
52,4100
66,5164
53,2378
25,9627
37,7922
54,641
55,1895
26,2962
38,2174
67,4122
68,48
27,3265
69,2087
39,5390
70,2816
40,2214
71,2083
56,12214
57,2078
41,6190
28,11200
58,1474
59,36
29,1774
42,3573
43,2136
30,3292
60,5305
44,2174
61,2805
62,1493
31,5926
63,10925
0,85643
72,23502
73,1843
74,2881
1,13194
2,3482
75,17364
76,6579
77,1763
78,1295
79,2446
45,216683
46,6157
47,35440
3,534216
4,1865
5,981
6,2791
7,8093
8,2379
9,4701
10,1486
11,1454
12,3489
13,2316
14,1440
15,4752
82,2871298
83,8384
84,9606
85,5686
86,86149
87,7528
88,2723
89,2874
90,5798
91,4182
92,11703
93,1100
94,1003
95,3824
16,4922
17,1341
18,1137
0,12660
19,1785
32,6281
20,3074
48,5132
1,3831
64,1115
21,6743
22,1828
49,9910
65,10481
50,2929
80,9066
23,6454
66,4399
51,4669
24,7341
25,61
52,2272
26,59
67,8645
53,4526
68,1382
54,1278
69,5223
27,11274
2,28406
3,217
55,7253
28,4521
29,1640
56,3000
4,3453
5,2206
30,3540
70,12314
31,1803
71,4589
57,12555
72,2363
6,11771
58,4803
59,902
60,5436
73,11967
61,1627
74,2969
75,3316
7,18883
76,3571
62,10141
77,1256
78,1109
8,6422
63,5798
9,3618
79,5850
10,1513
11,1965
12,6852
13,8903
14,3036
15,20432
81,537957
82,2695
83,7866
84,4331
85,1366
86,7730
87,274606
88,13635
89,1277
90,100
91,1070
92,2020
93,9446
94,7056
95,6432
33,1506726
34,2195
35,2232
36,2516
37,4505
38,1425
39,6948
40,4044
41,1773
42,3154
43,11092
44,1597
45,3593
46,1983
47,3631
0,839
1,275
16,2295
17,1736
18,1991
2,10982
32,3487
3,1504
4,2584
48,2444
5,2437
49,1687
6,463
64,2025
65,454
50,4974
66,2399
51,3568
52,993
80,2272
67,2544
68,1734
69,2112
7,13222
33,22148
81,4834
70,699
53,6182
71,975
82,1765
34,1575
54,1357
83,913
55,1065
84,1523
56,1728
72,4414
85,1785
57,713
73,1876
74,45
58,2619
59,1471
75,6453
19,24003
60,3258
76,1976
61,1702
77,2165
78,1636
35,19057
79,1426
36,1092
37,2545
8,29262
62,16734
9,3106
10,2546
63,13272
11,18690
20,34404
21,2149
12,4278
22,2008
23,2514
24,4092
38,35714
39,785
25,5330
40,1622
26,1979
41,3140
42,911
27,3207
28,1462
43,2336
29,521
30,333
31,3978
44,8196
45,77
46,1376
47,5658
86,661021
87,1822
88,7620
89,1162
90,2392
91,22537
92,3911
93,3667
13,1235188
14,2748
15,58
94,983788
95,984
16,2466
17,12028
18,1838
19,30
48,6987
20,2578
21,7472
64,12818
49,11512
50,5629
32,36787
22,15921
23,32
80,26467
0,63988
65,29144
24,19391
1,10030
25,2641
2,465
66,8115
51,34689
52,1783
26,5874
27,750
33,34111
28,3151
53,7418
3,14283
4,46
67,13758
54,3835
5,5976
55,2576
56,1090
34,16180
68,8665
35,434
57,1504
29,13904
30,31
36,1498
31,444
69,12485
70,389
6,18851
7,3226
58,20939
8,4934
9,1817
10,1083
11,47
12,3613
37,36698
13,8612
14,7308
38,30825
71,58287
39,8362
40,5988
41,493
59,64126
72,15034
60,3767
61,2345
62,1393
73,9946
42,19264
74,7253
63,81358
15,214807
75,220513
76,1911
77,6944
78,10383
79,34
81,518554
82,24484
83,7790
84,12462
85,35304
86,26528
87,12011
88,11122
89,14282
90,64157
91,8815
92,13329
93,1033
94,6965
95,14219
43,898247
44,327647
45,30751
46,7149
47,30015
32,4507
0,16893
16,11534
33,1978
1,5353
64,2395
65,455
80,8156
34,21542
35,465
17,15115
36,306
66,15431
67,1554
37,4462
81,10036
18,6531
82,2955
38,5609
48,34570
19,8219
49,7397
83,10076
84,2228
39,14721
20,9889
85,6147
86,2126
87,1727
21,7629
88,270
50,17240
22,4204
23,659
89,7139
24,1599
25,31
40,17844
41,1944
42,23097
43,3308
51,46457
26,43239
52,5589
53,31
44,16888
27,7214
28,70
45,5208
54,6487
29,1523
30,3136
31,912
2,73765
46,4228
3,7645
4,1490
5,2986
6,35
90,51305
91,3769
47,31281
7,32322
8,22739
9,103
10,832
11,2455
92,94146
93,4774
94,1043
95,3155
12,120634
13,4567
14,682
55,401959
56,27986
57,10586
58,5636
59,3518
60,4834
61,10026
62,3262
63,4701
68,497939
69,8327
70,4537
15,381443
71,104392
72,20825
73,35
74,574
75,565167
76,1328
77,7516
78,1962
79,5227
0,2684
16,3483
32,1841
48,908
17,11492
49,2926
18,187
64,361
50,1620
33,9283
1,18317
34,424
35,1695
36,1107
37,35
51,4873
2,4398
52,4277
3,6801
65,11976
53,2873
80,10157
19,16939
38,14309
54,5725
55,754
56,2369
66,12792
57,2371
58,2309
67,5994
20,16219
68,681
59,3042
21,3183
39,14601
60,3534
69,2963
22,2304
70,2650
40,5047
71,1528
41,2045
72,1065
73,1147
23,9293
24,54
61,12193
