,0
0,62.0
1,57.0
2,59.0
3,60.0
4,49.0
5,60.0
6,69.0
7,49.0
8,123.0
9,35.0
10,47.0
11,35.0
12,93.0
13,38.0
14,48.0
15,36.0
16,70.0
17,81.0
18,72.0
19,46.0
20,100.0
21,36.0
22,83.0
23,46.0
24,34.0
25,71.0
26,35.0
27,58.0
28,49.0
29,45.0
30,34.0
31,57.0
32,29.0
33,61.0
34,62.0
35,34.0
36,35.0
37,35.0
38,61.0
39,60.0
40,38.0
41,62.0
42,74.0
43,59.0
44,107.0
45,42.0
46,83.0
47,82.0
48,87.0
49,63.0
50,34.0
51,73.0
52,47.0
53,48.0
54,97.0
55,47.0
56,33.0
57,63.0
58,47.0
59,85.0
60,35.0
61,47.0
62,60.0
63,61.0
64,34.0
65,36.0
66,49.0
67,59.0
68,33.0
69,49.0
70,33.0
71,74.0
72,79.0
73,98.0
74,50.0
75,35.0
76,44.0
77,32.0
78,46.0
79,61.0
80,44.0
81,39.0
82,128.0
83,38.0
84,58.0
85,46.0
86,46.0
87,60.0
88,35.0
89,35.0
90,33.0
91,47.0
92,99.0
93,80.0
94,47.0
95,74.0
