,0
0,10.0
1,11.0
2,9.0
3,11.0
4,11.0
5,11.0
6,8.0
7,8.0
8,10.0
9,8.0
10,9.0
11,8.0
12,11.0
13,9.0
14,8.0
15,20.0
16,10.0
17,8.0
18,15.0
19,10.0
20,10.0
21,14.0
22,11.0
23,11.0
24,11.0
25,15.0
26,13.0
27,9.0
28,12.0
29,8.0
30,8.0
31,10.0
32,10.0
33,9.0
34,12.0
35,13.0
36,7.0
37,9.0
38,10.0
39,10.0
40,9.0
41,10.0
42,34.0
43,8.0
44,11.0
45,10.0
46,11.0
47,9.0
48,13.0
49,9.0
50,10.0
51,12.0
52,35.0
53,9.0
54,14.0
55,9.0
56,11.0
57,8.0
58,12.0
59,6.0
60,14.0
61,13.0
62,12.0
63,11.0
64,11.0
65,12.0
66,11.0
67,9.0
68,11.0
69,13.0
70,9.0
71,13.0
72,8.0
73,50.0
74,14.0
75,11.0
76,11.0
77,11.0
78,9.0
79,11.0
80,8.0
81,7.0
82,9.0
83,14.0
84,10.0
85,11.0
86,8.0
87,8.0
88,10.0
89,12.0
90,9.0
91,8.0
92,10.0
93,10.0
94,8.0
95,9.0
