,0
0,29.0
1,12.0
2,10.0
3,14.0
4,14.0
5,11.0
6,21.0
7,28.0
8,36.0
9,16.0
10,15.0
11,18.0
12,7.0
13,34.0
14,35.0
15,20.0
16,30.0
17,24.0
18,12.0
19,24.0
20,16.0
21,24.0
22,35.0
23,13.0
24,14.0
25,10.0
26,16.0
27,13.0
28,13.0
29,13.0
30,15.0
31,16.0
32,22.0
33,18.0
34,11.0
35,24.0
36,12.0
37,14.0
38,12.0
39,31.0
40,19.0
41,16.0
42,19.0
43,9.0
44,14.0
45,12.0
46,26.0
47,20.0
48,14.0
49,21.0
50,16.0
51,12.0
52,18.0
53,36.0
54,11.0
55,12.0
56,10.0
57,11.0
58,14.0
59,29.0
60,13.0
61,34.0
62,12.0
63,26.0
64,11.0
65,12.0
66,35.0
67,10.0
68,36.0
69,12.0
70,11.0
71,9.0
72,12.0
73,18.0
74,10.0
75,14.0
76,16.0
77,10.0
78,37.0
79,34.0
80,9.0
81,33.0
82,11.0
83,23.0
84,36.0
85,13.0
86,16.0
87,13.0
88,12.0
89,32.0
90,9.0
91,10.0
92,14.0
93,10.0
94,25.0
95,14.0
