,0
0,14.0
1,9.0
2,10.0
3,31.0
4,8.0
5,10.0
6,34.0
7,9.0
8,1146.0
9,7.0
10,9.0
11,38.0
12,59.0
13,9.0
14,7.0
15,31.0
16,10.0
17,7.0
18,3712.0
19,30.0
20,11.0
21,38.0
22,12.0
23,12.0
24,9.0
25,8.0
26,7.0
27,7.0
28,35.0
29,8.0
30,11.0
31,7.0
32,7.0
33,7.0
34,12.0
35,13.0
36,8.0
37,6.0
38,29.0
39,36.0
40,11.0
41,8.0
42,8.0
43,8.0
44,12.0
45,14.0
46,8.0
47,9.0
48,9.0
49,9.0
50,26.0
51,13.0
52,47.0
53,34.0
54,47.0
55,6.0
56,18.0
57,35.0
58,362.0
59,33.0
60,8.0
61,14.0
62,8.0
63,8.0
64,60.0
65,12.0
66,8.0
67,9.0
68,6.0
69,8.0
70,9.0
71,502.0
72,7.0
73,4073.0
74,35.0
75,32.0
76,9.0
77,8.0
78,994.0
79,34.0
80,10.0
81,12.0
82,10.0
83,11.0
84,6.0
85,159.0
86,1528.0
87,10.0
88,10.0
89,35.0
90,11.0
91,13.0
92,31.0
93,8.0
94,1107.0
95,26.0
