,0
0,12.0
1,11.0
2,13.0
3,11.0
4,10.0
5,10.0
6,11.0
7,8.0
8,12.0
9,11.0
10,11.0
11,12.0
12,8.0
13,13.0
14,9.0
15,11.0
16,11.0
17,11.0
18,13.0
19,14.0
20,11.0
21,9.0
22,11.0
23,12.0
24,13.0
25,10.0
26,11.0
27,10.0
28,9.0
29,8.0
30,8.0
31,11.0
32,12.0
33,14.0
34,9.0
35,9.0
36,14.0
37,10.0
38,10.0
39,9.0
40,9.0
41,35.0
42,28.0
43,7.0
44,10.0
45,26.0
46,9.0
47,12.0
48,11.0
49,12.0
50,11.0
51,8.0
52,10.0
53,9.0
54,9.0
55,11.0
56,10.0
57,8.0
58,14.0
59,11.0
60,12.0
61,13.0
62,11.0
63,12.0
64,10.0
65,9.0
66,13.0
67,12.0
68,11.0
69,11.0
70,10.0
71,12.0
72,10.0
73,8.0
74,13.0
75,10.0
76,13.0
77,10.0
78,9.0
79,8.0
80,12.0
81,14.0
82,10.0
83,10.0
84,9.0
85,9.0
86,10.0
87,8.0
88,13.0
89,10.0
90,12.0
91,11.0
92,14.0
93,9.0
94,9.0
95,10.0
