,0
0,47.0
1,49.0
2,36.0
3,49.0
4,60.0
5,42.0
6,60.0
7,35.0
8,69.0
9,61.0
10,72.0
11,46.0
12,60.0
13,61.0
14,38.0
15,47.0
16,35.0
17,86.0
18,62.0
19,46.0
20,36.0
21,33.0
22,74.0
23,45.0
24,33.0
25,47.0
26,50.0
27,88.0
28,97.0
29,86.0
30,70.0
31,47.0
32,36.0
33,59.0
34,74.0
35,60.0
36,60.0
37,122.0
38,47.0
39,47.0
40,48.0
41,45.0
42,81.0
43,40.0
44,47.0
45,70.0
46,57.0
47,46.0
48,59.0
49,63.0
50,59.0
51,39.0
52,37.0
53,45.0
54,33.0
55,84.0
56,37.0
57,48.0
58,73.0
59,32.0
60,61.0
61,34.0
62,63.0
63,34.0
64,48.0
65,74.0
66,60.0
67,46.0
68,60.0
69,106.0
70,49.0
71,47.0
72,49.0
73,73.0
74,159.0
75,62.0
76,31.0
77,57.0
78,72.0
79,49.0
80,36.0
81,48.0
82,35.0
83,49.0
84,47.0
85,92.0
86,49.0
87,45.0
88,92.0
89,37.0
90,46.0
91,73.0
92,37.0
93,34.0
94,35.0
95,75.0
