,0
0,10.0
1,10.0
2,298.0
3,10.0
4,9.0
5,701.0
6,8.0
7,12.0
8,32.0
9,9.0
10,11.0
11,10.0
12,9.0
13,162.0
14,13.0
15,10.0
16,417.0
17,8.0
18,35.0
19,7.0
20,9.0
21,1436.0
22,10.0
23,32.0
24,9.0
25,9.0
26,11.0
27,6.0
28,7.0
29,6.0
30,63.0
31,8.0
32,6.0
33,8.0
34,10.0
35,13.0
36,11.0
37,7.0
38,8.0
39,12.0
40,11.0
41,9.0
42,6.0
43,8.0
44,8.0
45,33.0
46,9.0
47,197.0
48,9.0
49,10.0
50,6.0
51,47.0
52,9.0
53,9.0
54,32.0
55,8.0
56,14.0
57,10.0
58,12.0
59,11.0
60,11.0
61,9.0
62,15.0
63,85.0
64,8.0
65,48.0
66,17.0
67,10.0
68,8.0
69,8.0
70,12.0
71,10.0
72,36.0
73,8.0
74,11.0
75,10.0
76,11.0
77,143.0
78,32.0
79,15.0
80,36.0
81,11.0
82,14.0
83,10.0
84,10.0
85,7.0
86,9.0
87,1653.0
88,17.0
89,29.0
90,37.0
91,10.0
92,11.0
93,33.0
94,39.0
95,6.0
