,0
0,2878509.0
1,1119285.0
2,719061.0
3,680364.0
4,552481.0
5,507185.0
6,300360.0
7,267304.0
8,259377.0
9,160169.0
10,154902.0
11,121073.0
12,107447.0
13,92193.0
14,89534.0
15,75342.0
16,43420.0
17,38259.0
18,37767.0
19,34698.0
20,24971.0
21,18851.0
22,17901.0
23,17231.0
24,15890.0
25,12396.0
26,11011.0
27,10254.0
28,9897.0
29,9652.0
30,9231.0
31,8726.0
32,8625.0
33,8536.0
34,8166.0
35,6991.0
36,5893.0
37,4696.0
38,4320.0
39,4207.0
40,3783.0
41,3780.0
42,3708.0
43,3667.0
44,2826.0
45,2801.0
46,2739.0
47,2397.0
48,2265.0
49,1998.0
50,1955.0
51,1922.0
52,1629.0
53,1609.0
54,1603.0
55,1412.0
56,1267.0
57,1263.0
58,1214.0
59,988.0
60,922.0
61,911.0
62,842.0
63,812.0
64,780.0
65,744.0
66,699.0
67,630.0
68,565.0
69,548.0
70,494.0
71,368.0
72,339.0
73,274.0
74,271.0
75,198.0
76,142.0
77,133.0
78,131.0
79,127.0
80,118.0
81,102.0
82,98.0
83,94.0
84,91.0
85,84.0
86,76.0
87,68.0
88,49.0
89,37.0
90,35.0
91,34.0
92,33.0
93,33.0
94,33.0
95,32.0
96,32.0
97,28.0
