0,2730
28,1874
29,2504
14,9614
42,2045
15,1776
16,1063
1,18168
17,3324
2,4707
70,1196
43,10361
3,1914
56,5903
18,3665
4,2274
57,2818
44,3075
58,2335
84,2417
5,2702
71,7128
59,3644
60,3133
6,2436
72,2927
85,5891
30,24407
61,4496
19,9897
20,968
73,6117
31,4089
74,4430
7,8956
45,13737
32,3471
46,1572
8,3286
62,13257
47,5991
33,6219
9,6642
48,2850
10,2770
49,2894
63,5765
86,19026
50,2515
64,1674
34,6045
51,1595
11,2705
87,3473
52,2529
21,20363
88,1448
65,3502
75,24816
53,3979
89,1557
90,2209
54,5784
12,7788
66,5234
55,3435
35,8860
67,1591
22,7758
91,5603
92,2957
13,5175
68,5366
23,6121
93,4248
36,8629
69,6565
94,7300
76,19051
24,7121
77,1283
37,9146
25,1856
95,3152
38,1928
39,1901
78,5460
96,3422
26,8228
40,7461
79,9406
27,7314
41,4514
80,5441
97,26943
81,15003
82,4749
83,6553
14,72
15,1197
16,72
17,45
28,140
29,127
0,10944
56,58
57,1066
58,1126
1,13420
2,1997
3,1142
42,14807
59,24670
60,5667
4,24938
5,33
61,11182
6,11055
7,770
8,64
9,10458
10,783
43,60632
44,32
45,7748
46,283
47,32
11,18585
12,5977
13,14853
18,157676
19,827
20,105
30,146260
21,18006
22,2374
48,136238
49,11914
50,7879
23,46693
84,349660
85,17296
86,36
87,1081
88,233
89,1342
90,1694
91,20870
62,396009
63,4338
64,796
65,31
66,132
67,15606
68,876
69,1620
92,146621
93,450
94,418
95,43102
96,9238
97,31
31,707168
32,1719
33,112215
51,870156
52,3379
53,3208
54,6937
55,30
70,3097496
71,964
72,174469
73,30
74,45
75,5546
24,3152055
76,201787
77,1488
78,32
79,5176
80,129
81,4343
82,16225
83,56
25,245757
26,29
27,13225
34,4364075
35,2416
36,26286
37,14456
38,1963
39,4219
40,67
41,34
0,104
14,142
15,177
16,61
17,34
1,6336
18,341
19,1103
20,93
2,3033
28,43
29,138
56,44
3,6606
57,932
42,9220
58,1050
59,217
70,164
71,1478
21,19992
22,1242
23,33
24,1725
25,577
26,27
27,487
72,7569
73,31
74,28
75,3425
30,62749
43,94787
44,32
31,17489
32,768
45,18471
46,957
76,85125
47,35
48,14049
49,1288
50,1255
51,2744
52,76
53,2756
77,38395
78,36
4,148478
79,932
5,35
80,58
6,1567
7,1225
8,80
9,112
10,674
33,62542
34,1612
35,567
81,8526
82,444
83,37
54,24335
55,150
11,64439
12,22328
13,44
60,282819
61,103
62,73
36,137364
37,1264
63,6624
38,1327
64,1736
39,614
65,33
40,255
66,46
41,32
84,947037
85,68295
86,37
87,1191
88,951
89,798
90,336
91,46
67,743669
92,2901
93,124
68,1734
94,2437
69,2822
95,4786087
96,925
97,249
0,61
14,2387
1,7145
2,254
15,405
16,45
17,29
3,1455
18,1027
4,77
28,298
5,70
6,1698
7,978
56,61
57,418
70,265
58,2485
59,195
71,2585
60,3415
61,34
62,46
63,34
42,18811
43,1260
84,11198
85,2131
44,4864
45,1658
19,25544
20,58
64,13403
21,7181
46,11260
47,2609
48,6239
49,796
50,498
51,5277
52,60
53,3951
22,33851
23,34
24,1786
25,581
26,34
27,885
72,44102
73,9444
74,29
75,6254
65,73275
66,35
54,48646
67,1543
55,336
86,115997
87,2436
88,1056
89,1467
90,346
91,83
29,161115
92,982
93,317
94,3235
68,29654
69,2070
30,103765
31,131632
32,3835
33,45830
34,954
35,1567
36,134671
37,1705
38,1477
39,368
40,414
41,34
8,2435028
9,91
10,413
11,33
12,42
13,69
76,2902200
77,36
78,30
79,1478
80,90
81,3687
82,1191
83,352
95,2823833
96,3115
97,342323
0,108
14,32
28,133
29,1561
42,56
43,1483
44,971
45,1176
15,15465
16,37
17,48
18,34
19,56
20,99
46,2399
56,1773
21,2464
22,79
1,14819
57,795
2,56
58,35
59,103
47,2117
60,1037
61,80
62,62
63,35
3,3125
4,103
64,641
65,2421
66,56
67,313
5,2968
6,379
23,9570
7,919
8,526
9,24
10,1445
11,33
24,2295
12,104
25,29
48,6032
13,35
49,408
50,1088
84,6638
51,2034
52,208
53,560
54,2299
55,595
85,11570
86,113
30,52699
31,47
32,3790
68,337494
69,3038
33,471634
34,1844
35,683
36,232552
37,12239
38,12186
39,330
40,36445
41,53
26,897829
27,37
70,1982192
71,2078
72,588
73,16595
74,44182
75,305360
76,1510
77,44
78,34
79,2231
80,59786
81,2029
82,653359
83,3830
87,4249935
88,299
89,2439
90,127757
91,582435
92,2010
93,724
94,18470
95,2548388
96,805
97,8029957
0,1090
14,50
15,37
16,100
17,2501
18,30
19,132
20,35
28,36
29,886
21,1890
22,452
23,30
24,47
25,32
42,48
43,4620
56,1402
70,61
71,14959
72,48
26,18914
27,175
44,36513
45,968
46,423
47,1876
84,21678
48,15429
49,2796
50,7149
51,560
52,34
53,566
54,651
55,7187
30,144584
31,32
32,3019
85,133269
86,460
87,25114
88,431
73,149872
74,41
75,780
76,1580
89,37365
90,1287
77,11921
78,441
79,33
80,34
81,5822
82,947
83,47
91,84882
33,124062
34,4519
35,2182
36,21304
37,69
92,157360
93,23418
94,15909
38,222499
39,56
40,735
41,81
