,0
0,1433923.0
1,1051704.0
2,901048.0
3,726712.0
4,299840.0
5,222499.0
6,157360.0
7,149872.0
8,144584.0
9,133269.0
10,124719.0
11,124062.0
12,84882.0
13,66809.0
14,37365.0
15,36513.0
16,25648.0
17,25114.0
18,23418.0
19,21678.0
20,21304.0
21,18914.0
22,15909.0
23,15429.0
24,14959.0
25,11921.0
26,8636.0
27,7187.0
28,7149.0
29,6753.0
30,6397.0
31,5822.0
32,5573.0
33,4620.0
34,4519.0
35,3717.0
36,3019.0
37,2966.0
38,2796.0
39,2501.0
40,2182.0
41,1890.0
42,1876.0
43,1653.0
44,1580.0
45,1402.0
46,1287.0
47,1090.0
48,1051.0
49,968.0
50,947.0
51,886.0
52,780.0
53,750.0
54,735.0
55,702.0
56,651.0
57,616.0
58,566.0
59,560.0
60,460.0
61,452.0
62,441.0
63,431.0
64,423.0
65,384.0
66,347.0
67,332.0
68,282.0
69,280.0
70,175.0
71,132.0
72,100.0
73,81.0
74,69.0
75,61.0
76,56.0
77,50.0
78,48.0
79,48.0
80,47.0
81,47.0
82,45.0
83,45.0
84,42.0
85,41.0
86,37.0
87,36.0
88,35.0
89,34.0
90,34.0
91,34.0
92,33.0
93,32.0
94,32.0
95,30.0
96,30.0
97,28.0
