,0
0,1585635.0
1,1574609.0
2,1294234.0
3,1254328.0
4,724109.0
5,697136.0
6,458086.0
7,425976.0
8,354264.0
9,350280.0
10,286233.0
11,215224.0
12,197159.0
13,193372.0
14,158676.0
15,94639.0
16,81599.0
17,71837.0
18,57669.0
19,49848.0
20,45463.0
21,45083.0
22,35531.0
23,22895.0
24,21272.0
25,21020.0
26,19551.0
27,18738.0
28,16352.0
29,14814.0
30,13194.0
31,11447.0
32,9727.0
33,9622.0
34,7262.0
35,6846.0
36,6568.0
37,6280.0
38,5688.0
39,5550.0
40,4025.0
41,3781.0
42,3710.0
43,3630.0
44,3458.0
45,3171.0
46,3148.0
47,2993.0
48,2773.0
49,2561.0
50,2507.0
51,2505.0
52,2469.0
53,2211.0
54,1797.0
55,1795.0
56,1780.0
57,1666.0
58,1545.0
59,1337.0
60,1278.0
61,1213.0
62,997.0
63,980.0
64,925.0
65,890.0
66,868.0
67,867.0
68,844.0
69,816.0
70,781.0
71,698.0
72,691.0
73,678.0
74,645.0
75,486.0
76,425.0
77,421.0
78,419.0
79,242.0
80,202.0
81,180.0
82,170.0
83,169.0
84,115.0
85,106.0
86,90.0
87,57.0
88,54.0
89,51.0
90,49.0
91,46.0
92,46.0
93,45.0
94,35.0
95,33.0
96,32.0
97,31.0
